Commune,Code Insee,url,Catégorie,Population,Site,https,Serveur,Version du serveur,Application,Version de l'application,Langage,Version du langage,Latitude,Longitude
Choussy,41054,http://choussy.free.fr,Informations masquées (vulnérabilités pas exposées),330,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.365664775364600,1.348522366482300
Chouvigny,03078,http://chouvigny.planet-allier.com,Niveau de sécurité incertain,235,oui,non,IIS,6.0,Inconnue,Inconnue,asp.net,Inconnue,46.125968349327799,3.004494783808630
Chouzé-sur-Loire,37074,http://www.chouze-sur-loire.fr,Informations masquées (vulnérabilités pas exposées),2071,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.246609267920697,0.109126896496854
Chouzelot,25154,http://www.mairie-chouzelot.fr,Pas à jour,289,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,47.122703439980000,5.908922171132350
Chouzy-sur-Cisse,41055,http://www.chouzy-sur-cisse.fr,Pas à jour,1860,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.9,47.523996814861498,1.238737362883980
Choye,70152,http://www.choye.fr,Pas à jour,390,oui,non,Apache,Inconnue,WordPress,2.6,php,5.2.17,47.392378239994102,5.757831089934360
Chozeau,38109,http://www.chozeau.com,Pas à jour,1040,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,4.4.9,45.699472827623900,5.209822141565700
Chuelles,45097,http://www.chuelles.fr,À jour,1136,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,47.996984210847501,2.968592684173470
Chuisnes,28099,http://www.chuisnes.fr,Informations masquées (vulnérabilités pas exposées),1033,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.437046714448996,1.188404532871990
Chusclan,30081,http://www.chusclan.fr,Pas à jour,983,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,44.154109049386598,4.688314700375280
Chuyer,42064,http://www.chuyer.fr,Informations masquées (vulnérabilités pas exposées),766,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.455740343380299,4.703060599900410
Chuzelles,38110,http://www.mairie-chuzelles.fr,Pas à jour,2052,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.4.35,45.575741593178300,4.878412484132690
Ciamannacce,2A089,http://www.ciamannacce.fr,Informations masquées (vulnérabilités pas exposées),138,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,41.973091158089296,9.138442237194941
Ciboure ,64189,http://www.mairie-ciboure.com,Pas à jour,6824,oui,non,Apache,2.2,TYPO3,4.5,php,5.2.13,43.374800604575299,-1.661204692216530
Ciel,71131,http://www.mairie-ciel.fr,Informations masquées (vulnérabilités pas exposées),751,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.871467781631800,5.051515756801080
Cierp-Gaud,31144,http://www.cierpgaud.fr,Pas à jour,849,oui,non,Apache,Inconnue,WordPress,2.6.3,php,5.2.17,42.912190858284099,0.634695974655739
Cieurac,46070,http://www.cieurac.fr,Niveau de sécurité incertain,426,oui,non,Apache,Inconnue,TYPO3,4.5,php,Inconnue,44.370595123134798,1.498200238221040
Ciez,58077,http://www.ciez.fr,Informations masquées (vulnérabilités pas exposées),376,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.440138224339101,3.163313833069610
Cigogné,37075,http://www.communedecigogne.fr,Pas à jour,336,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.29,47.265782691201302,0.943263286588083
Cilaos,97424,http://www.ville-cilaos.fr,Informations masquées (vulnérabilités pas exposées),5807,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,-21.143856323084702,55.458770261818401
Cinq-Mars-la-Pile,37077,http://cinq-mars-la-pile.fr,Pas à jour,3369,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,47.353838633283701,0.453228519306036
Cinqueux,60154,http://www.ville-cinqueux.fr,Informations masquées (vulnérabilités pas exposées),1523,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.324124275661902,2.533856275119990
Cintegabelle,31145,http://www.mairie-cintegabelle.fr,Informations masquées (vulnérabilités pas exposées),2625,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.306578430695303,1.535701853585190
Cintré,35080,http://www.ville-cintre.fr,Niveau de sécurité incertain,2054,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,48.108590597431501,-1.885985366825710
Cires-lès-Mello,60155,http://www.cires-les-mello.fr,Pas à jour,3535,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,49.262297135801603,2.337816155476500
Cirey,70154,http://www.cirey.fr,Informations masquées (vulnérabilités pas exposées),347,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.413220144687202,6.132446978497630
Cirey-lès-Mareilles,52128,http://www.cirey-les-mareilles.com,Niveau de sécurité incertain,128,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.3,48.198124967137097,5.298906236616780
Cirey-sur-Vezouze,54129,http://www.mairiedecireysurvezouze.fr,Informations masquées (vulnérabilités pas exposées),1733,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.586159290575701,6.944609035634230
Ciry-le-Noble,71132,http://www.mairie-ciry-le-noble.fr,Niveau de sécurité incertain,2380,oui,non,IIS,7.5,e.Magnus,Inconnue,asp.net,Inconnue,46.596534150266002,4.297965186601320
Cissac-Médoc,33125,http://www.mairie-cissac-medoc.fr,Informations masquées (vulnérabilités pas exposées),1772,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.220627786272303,-0.848223504912277
Cissé,86076,http://www.cisse.fr,Pas à jour,2571,oui,non,Apache,2.2,Joomla,Inconnue,php,5.3.29,46.650191535965902,0.241043677847040
Citry,77117,http://www.citry.fr,Pas à jour,797,oui,non,Apache,Inconnue,Joomla,Inconnue,php,5.3.27,48.962017804699400,3.245232764243360
Civaux,86077,http://www.ville-civaux.fr,Pas à jour,964,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.10,46.442414924290098,0.668061914058292
Civens,42065,http://www.mairie-civens.fr,Informations masquées (vulnérabilités pas exposées),1367,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.767752434178803,4.233585949166850
Civrac-en-Médoc,33128,http://www.mairie-civracenmedoc.jimdo.com,Pas à jour,584,oui,non,Lighttp,1.4.28,Inconnue,Inconnue,Inconnue,Inconnue,45.343734199818599,-0.915522291780914
Civray,86078,http://www.civray.fr,Pas à jour,2866,oui,non,Apache,2.2,Joomla,Inconnue,php,5.3.29,46.141481813892902,0.301093289588656
Civray-de-Touraine,37079,http://www.civraydetouraine.fr,Pas à jour,1815,oui,non,Apache,Inconnue,Joomla,Inconnue,php,5.3.29,47.339551732807301,1.041058354055760
Civray-sur-Esves,37080,http://www.civraysuresves.fr,Pas à jour,221,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,47.036166731432601,0.712220969649731
Civrieux,01105,http://www.mairie-civrieux01.fr,Niveau de sécurité incertain,1362,oui,non,Apache,Inconnue,Joomla,Inconnue,php,5.3.3,45.922963828341501,4.886684640162900
Civrieux-d'Azergues,69059,http://www.civrieuxdazergues.fr,À jour,1456,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.4.37,45.854726884673497,4.711139712739070
Claira,66050,http://www.claira.fr,Informations masquées (vulnérabilités pas exposées),3610,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,42.763911944907299,2.944981054258520
Clairac,47065,http://www.clairac.com,À jour,2451,oui,non,Apache,Inconnue,SPIP,3.0.16,php,Inconnue,44.371135905555299,0.386016647711313
Clairefontaine-en-Yvelines,78164,http://www.clairefontaine-en-yvelines.fr,Niveau de sécurité incertain,790,oui,non,IIS,7.5,e.Magnus,Inconnue,asp.net,Inconnue,48.616430659850600,1.906536954360390
Clairmarais,62225,http://www.clairmarais.fr,Niveau de sécurité incertain,626,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.3,50.769118404261803,2.342730592695850
Clairoix,60156,http://www.clairoix.com,Niveau de sécurité incertain,2116,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,49.441829207461403,2.844910350945460
Clairvaux-les-Lacs,39154,http://www.clairvaux-les-lacs.com,Informations masquées (vulnérabilités pas exposées),1424,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.564253582888298,5.754628682088250
Clairy-Saulchoix,80198,http://www.commune-clairysaulchoix.fr,Pas à jour,388,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.0,49.854452119224398,2.167836187518660
Claix,38111,http://www.ville-claix.fr,Informations masquées (vulnérabilités pas exposées),7538,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.122378275760497,5.656349426003980
Claix,16101,http://www.claix16.fr,Pas à jour,936,oui,non,Apache,Inconnue,WordPress,Inconnue,php,5.2.17,45.550162876357497,0.050824880025180
Clamart,92023,http://www.clamart.fr,Informations masquées (vulnérabilités pas exposées),52546,oui,non,Apache,Inconnue,TYPO3,Inconnue,php,Inconnue,48.796450096769703,2.254289344079900
Clamecy,58079,http://www.clamecy.fr,Pas à jour,4248,oui,non,Apache,2.4,Inconnue,Inconnue,php,5.5.17,47.461199533110701,3.510838536978450
Clans,06042,http://www.clans06.com,Pas à jour,562,oui,non,Apache,2.0,Inconnue,Inconnue,php,4.4.8,44.004762915604800,7.178959585684980
Clansayes,26093,http://www.clansayes.fr,Informations masquées (vulnérabilités pas exposées),544,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.377879250946400,4.806342186975660
Clapiers,34077,http://www.ville-clapiers.fr,Pas à jour,5200,oui,non,Apache,2.4,Inconnue,Inconnue,php,5.5.17,43.661964181839600,3.886558127844140
Clarafond-Arcine,74077,http://www.clarafond-arcine.fr,Pas à jour,895,oui,non,Apache,2.2,Joomla,1.7,php,5.3.3,46.074870859293803,5.895669102906410
Clarbec,14161,http://communedeclarbec.free.fr,Informations masquées (vulnérabilités pas exposées),383,oui,non,Apache,Inconnue,IziSpot,4.31,Inconnue,Inconnue,49.241232081816300,0.134722859075657
Clarens,65150,http://www.clarens.a3w.fr,Niveau de sécurité incertain,445,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,43.154189237069900,0.412180023372714
Clarensac,30082,http://www.mairie-clarensac.com,Informations masquées (vulnérabilités pas exposées),3820,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.837422374677502,4.225241862507770
Claret,34078,http://www.claret.fr,Pas à jour,1389,oui,non,Apache,Inconnue,SPIP,2.0.6,php,5.2.0,43.857354495699397,3.876898033166080
Claveisolles,69060,http://www.claveisolles.fr,Pas à jour,639,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,46.097569723572498,4.511396111701180
Clavette,17109,http://www.clavette.fr,Pas à jour,1184,oui,non,Apache,2.2,GuppY,Inconnue,php,5.2.4,46.142608694277897,-1.037486882872040
Claviers,83041,http://www.mairie-claviers.fr,À jour,583,oui,non,Apache,2.2,WordPress,4.0.1,php,5.3.10,43.598969650011199,6.585772903230370
Claville,27161,http://www.claville.fr,À jour,1083,oui,non,Apache,Inconnue,SPIP,3.0.17,php,5.4.37,49.049047267561100,1.018442089915520
Claye-Souilly,77118,http://www.claye-souilly.fr,Pas à jour,11026,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.7,48.942969430348903,2.675050032429340
Clayes,35081,http://www.clayes.fr,À jour,678,oui,non,Inconnue,Inconnue,WordPress,4.1,php,Inconnue,48.179100166965398,-1.853815366940600
Clécy,14162,http://www.clecy.fr,Niveau de sécurité incertain,1260,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,48.903104467755099,-0.493857664473916
Cléden-Cap-Sizun,29028,http://www.cleden-cap-sizun.fr,Informations masquées (vulnérabilités pas exposées),1014,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.053825447353397,-4.656014924774830
Cléden-Poher,29029,http://www.cleden-poher.com,Pas à jour,1094,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.6,48.243075080711101,-3.664200454603880
Cléder,29030,http://www.cleder.fr,Pas à jour,3824,oui,non,Apache,Inconnue,Joomla,1.7,php,5.2.17,48.660427203483799,-4.124305114994370
Clefs-Val d'Anjou,49101,http://www.clefsvaldanjou.fr,Niveau de sécurité incertain,979,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,47.617016735734502,-0.044521999148425
Cléguer,56040,http://www.cleguer.fr,Pas à jour,3306,oui,non,Apache,Inconnue,TYPO3,4.2,php,Inconnue,47.865240612523898,-3.365119235560280
Cléguérec,56041,http://www.cleguerec.fr,À jour,2915,oui,non,Apache,Inconnue,WordPress,4.1,php,5.4.37,48.128111666913398,-3.063639035440400
Clémencey,21178,http://www.lesgauloisdeclemencey.over-blog.com,Pas à jour,120,oui,non,Inconnue,Inconnue,Inconnue,Inconnue,php,5.2.6,47.255902229922398,4.885125389927650
Clémont,18067,http://www.clemont.fr,Pas à jour,708,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.12,47.563036949755102,2.330908038975130
Clénay,21179,http://www.clenay.fr,Informations masquées (vulnérabilités pas exposées),845,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.413648403739799,5.114637579143400
Cléon,76178,http://www.ville-cleon.fr,Pas à jour,5606,oui,non,Apache,Inconnue,WordPress,Inconnue,php,5.4.32,49.316070780804601,1.039832344447340
Cléon-d'Andran,26095,http://www.mairie-cleon-andran.fr,Pas à jour,883,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.29,44.609692989581497,4.933241127256940
Clérac,17110,http://www.ville-clerac.fr,Pas à jour,932,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.17,45.170956263941697,-0.233983304670776
Cléré-les-Pins,37081,http://mairie.clere37.pagesperso-orange.fr,Informations masquées (vulnérabilités pas exposées),1304,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.444929160037901,0.379160280426693
Clères,76179,http://www.mairie-cleres.fr,Informations masquées (vulnérabilités pas exposées),1347,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.591007915465397,1.103570973033960
Clergoux,19056,http://www.clergoux.correze.net,Informations masquées (vulnérabilités pas exposées),378,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.276117936163303,1.956965678045300
Clérieux,26096,http://www.clerieux.fr,Informations masquées (vulnérabilités pas exposées),2040,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.080288963231503,4.954922564708210
Clermain,71134,http://www.clermain.com,Pas à jour,232,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.6,46.365656473042499,4.589578554689830
Clermont,60157,http://www.mairie-clermont.fr,Informations masquées (vulnérabilités pas exposées),10573,oui,oui,Apache,Inconnue,eZ Publish,Inconnue,php,Inconnue,49.378251622675400,2.409056882543380
Clermont-Créans,72084,http://www.clermont-creans.com,Pas à jour,1256,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.6,47.732666050222598,-0.024452376628187
Clermont-de-Beauregard,24123,http://www.pays-de-bergerac.com,Niveau de sécurité incertain,122,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,44.949462846286302,0.646971312958431
Clermont-en-Argonne,55117,http://www.clermont-en-argonne.fr,À jour,1567,oui,non,Apache,2.2,WordPress,4.0.1,php,5.4.36,49.108890853133303,5.081345990734480
Clermont-Ferrand  ,63113,http://www.ville-clermont-ferrand.fr,Informations masquées (vulnérabilités pas exposées),139860,oui,non,Apache,Inconnue,SPIP,Inconnue,php,Inconnue,45.785936005856300,3.115408702290150
Clermont-l'Hérault,34079,http://www.clermont-herault.fr,Pas à jour,8018,oui,non,Apache,Inconnue,SPIP,2.1.12,php,5.4.37,43.634257668065999,3.412750574585900
Clermont-le-Fort,31148,http://mairieclermontlefort.free.fr,Informations masquées (vulnérabilités pas exposées),532,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.458276829269103,1.442782361735730
Clermont-Pouyguillès,32104,http://www.vva-gers.com,Pas à jour,165,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.2,43.476647212652402,0.524368226272678
Clerval,25156,http://clerval.fr,À jour,1045,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.4.37,47.399644207847800,6.503664284248470
Cléry,73086,http://www.clery.fr,Niveau de sécurité incertain,421,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,45.647968441381799,6.273533282040700
Cléry-Saint-André,45098,http://www.clery-saint-andre.com,Pas à jour,3255,oui,non,Apache,Inconnue,Joomla,1.5,php,5.2.17,47.814411738476899,1.768214383914330
Clessé,79094,http://www.clesse79.fr,Pas à jour,934,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.17,46.724812434316803,-0.400716999509141
Clessé,71135,http://www.clesse71.fr,Pas à jour,829,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,46.418236647525703,4.821446071481160
Clessy,71136,http://www.clessy.fr,Informations masquées (vulnérabilités pas exposées),261,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.555625613150099,4.086034430257730
Cléty,62229,http://www.clety.fr,Pas à jour,672,oui,non,Apache,Inconnue,Joomla,1.5,php,5.2.17,50.653356084842301,2.181771412734570
Cléville,14163,http://cleville.fr,Pas à jour,351,oui,non,Apache,Inconnue,WordPress,4.1,php,5.3.29,49.145112700718997,-0.094140026841463
Clichy,92024,http://www.ville-clichy.fr,Informations masquées (vulnérabilités pas exposées),58916,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.904081867296703,2.305962131278770
Clichy-sous-Bois,93014,http://www.clichy-sous-bois.fr,Niveau de sécurité incertain,29750,oui,oui,Apache,2.2,eZ Publish,Inconnue,php,Inconnue,48.907965516539903,2.546369325731530
Climbach,67075,http://www.mairie-climbach.fr,Pas à jour,512,oui,non,Apache,2.2,WebSee,Inconnue,php,5.2.13,49.015894214463998,7.850603926951210
Clinchamps-sur-Orne,14164,http://www.clinchamps.fr,Informations masquées (vulnérabilités pas exposées),1101,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.083020125033201,-0.404422585778793
Clion-sur-Seugne,17111,http://www.clion-sur-seugne.fr,Pas à jour,803,oui,non,Apache,2.2,GuppY,Inconnue,php,5.2.4,45.471035332082600,-0.509987091620815
Cliousclat,26097,http://www.cliousclat.com,Pas à jour,636,oui,non,Apache,Inconnue,WordPress,3.6.1,php,5.3.29,44.722052368831697,4.832937051151740
Clisson ,44043,http://www.mairie-clisson.com,Niveau de sécurité incertain,6732,oui,non,Apache,2.2,Creaville,Inconnue,Inconnue,Inconnue,47.097464270756703,-1.270805533879740
Clohars-Carnoët,29031,http://www.clohars-carnoet.fr,Pas à jour,4057,oui,non,Apache,Inconnue,WordPress,Inconnue,php,5.3.29,47.794274599846702,-3.566344054008960
Clohars-Fouesnant,29032,http://www.clohars-fouesnant.fr,Pas à jour,2243,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.29,47.898110931818103,-4.082917864936300
Clonas-sur-Varèze,38114,http://www.clonas.fr,À jour,1495,oui,non,Apache,Inconnue,Joomla,Inconnue,php,5.4.37,45.414740157836903,4.792807649396030
Clouange,57143,http://www.clouange.fr,Informations masquées (vulnérabilités pas exposées),3907,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.263819899155997,6.087529088965020
Cloyes-sur-le-Loir,28103,http://www.cloyes-sur-le-loir.com,Pas à jour,2715,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.29,47.993455710276699,1.221139076576300
Cluis,36056,http://www.cluis.fr,Pas à jour,1020,oui,non,IIS,5.0,Inconnue,Inconnue,asp.net,Inconnue,46.535717181493403,1.743253536472740
Cluny,71137,http://www.cluny.fr,Informations masquées (vulnérabilités pas exposées),4638,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.430840136708298,4.669777363217390
Cluses ,74081,http://www.cluses.fr,Pas à jour,17408,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.6,46.063192374122202,6.579646755385400
Clussais-la-Pommeraie,79095,http://www.clussaislapommeraie79.org,Informations masquées (vulnérabilités pas exposées),600,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.186337476995199,0.032299337250370
Coaraze,06043,http://www.coaraze.fr,Informations masquées (vulnérabilités pas exposées),736,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.866249746780802,7.299375652652410
Coarraze,64191,http://www.coarraze.fr,Niveau de sécurité incertain,2113,oui,non,IIS,6.0,Inconnue,Inconnue,asp.net,Inconnue,43.167914859359200,-0.209187215251511
Coat-Méal,29035,http://www.coat-meal.fr,Informations masquées (vulnérabilités pas exposées),1009,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.506042273295002,-4.539704491526940
Coatréven,22042,http://www.coatreven.fr,À jour,437,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,48.763398895275401,-3.326024083942260
Cobrieux,59150,http://www.mairie.cobrieux.pagesperso-orange.fr,Informations masquées (vulnérabilités pas exposées),527,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,50.539149024034600,3.239827146865850
Cocherel,77120,http://www.mairiecocherel.fr,Pas à jour,592,oui,non,Apache,2.2,Inconnue,Inconnue,php,4.4.8,49.018673367521899,3.106027573856110
Cocheren,57144,http://www.cocheren.fr,Informations masquées (vulnérabilités pas exposées),3496,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.143604991594799,6.853783159918240
COCUMONT,47068,http://www.cocumont-aquitaine.fr,Informations masquées (vulnérabilités pas exposées),974,oui,non,Nginx,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.453525055221803,0.034386199988061
Cocurès,48050,http://www.cocures.fr,Pas à jour,196,oui,non,Apache,2.2,Inconnue,Inconnue,php,4.4.8,44.353069558632598,3.620719315714250
Codalet,66052,http://www.codalet.fr,Informations masquées (vulnérabilités pas exposées),352,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,42.599754313639203,2.415192447576760
Codognan,30083,http://www.codognan.fr,Pas à jour,2441,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.29,43.723287577182397,4.227581250533510
Codolet,30084,http://www.codolet.fr,Informations masquées (vulnérabilités pas exposées),703,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.127081168715598,4.701336165200540
Coëtmieux,22044,http://www.coetmieux.reseaudescommunes.fr,Pas à jour,1599,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,48.486633372337799,-2.592284615440710
Coëx,85070,http://www.ville-coex.fr,Pas à jour,3025,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,46.707674468602200,-1.757342302549340
Coglès,35083,http://www.cogles.fr,À jour,650,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,48.455092267514601,-1.363767097948320
Cognac ,16102,http://www.ville-cognac.fr,À jour,18557,oui,non,Apache,2.2,SPIP,2.1.26,php,Inconnue,45.696385571030298,-0.335261793434615
Cognin,73087,http://www.cognin.fr,Informations masquées (vulnérabilités pas exposées),5913,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.560362386821197,5.891512241852980
Cognin-les-Gorges,38117,http://cognin-les-gorges.sud-gresivaudan.org,Pas à jour,656,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.4.4,45.170566327353200,5.418072325197940
Cogny,69061,http://www.cogny-beaujolais.fr,Pas à jour,1106,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,45.987424923449701,4.609829088387400
Cogolin ,83042,http://www.cogolin.fr,Pas à jour,11108,oui,non,Apache,2.2,WordPress,Inconnue,php,5.2.6,43.246930276037403,6.521822155356570
Cohade,43074,http://www.cohade.net,Informations masquées (vulnérabilités pas exposées),823,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.335206671914797,3.370754400259490
Cohennoz,73088,http://www.mairie-cohennoz.fr,Informations masquées (vulnérabilités pas exposées),156,oui,non,Nginx,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.763323843408998,6.496241507423960
Cohons,52134,http://www.cohons.fr,Niveau de sécurité incertain,265,oui,non,Apache,2.2,WebDev,Inconnue,Inconnue,Inconnue,47.787169946570799,5.341652615838470
Coignières,78168,http://www.coignieres.fr,Niveau de sécurité incertain,4527,oui,non,IIS,7.5,e.Magnus,Inconnue,asp.net,Inconnue,48.749857200958203,1.913956511600150
Coin-lès-Cuvry,57146,http://coinlescuvry.fr,Pas à jour,721,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,49.025316698954100,6.136759914595260
Coin-sur-Seille,57147,http://coinsurseille.unblog.fr,Niveau de sécurité incertain,294,oui,non,Nginx,1.6.2,WordPress,Inconnue,php,Inconnue,49.009780762669600,6.157730482981100
Coinces,45099,http://www.coinces.fr,À jour,556,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.4.37,48.016895428123000,1.733212545604830
Coincy,02203,http://www.coincy.net,Pas à jour,1310,oui,non,Apache,2.2,SPIP,2.1.8,php,5.3.26,49.163397116529303,3.435394602039160
Coise,69062,http://www.coise.fr,À jour,741,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,45.614516257162201,4.469303933198760
Coise-Saint-Jean-Pied-Gauthier,73089,http://www.coisesaintjean.fr,Niveau de sécurité incertain,1182,oui,non,IIS,7.5,e.Magnus,Inconnue,asp.net,Inconnue,45.526310667726101,6.131720513961660
Colembert,62230,http://www.colembert.fr,Pas à jour,767,oui,non,Apache,Inconnue,Joomla,1.5,php,5.2.17,50.749423556964501,1.826923633980130
Coligny,01108,http://www.mairie-coligny.fr,Informations masquées (vulnérabilités pas exposées),1154,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.386685765536399,5.330426163174710
Collégien,77121,http://www.mairie-de-collegien.fr,Pas à jour,3145,oui,non,Apache,Inconnue,Joomla,1.5,php,5.2.17,48.827858550541201,2.677105927792490
Collemiers,89113,http://www.collemiers.fr,Informations masquées (vulnérabilités pas exposées),573,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.154045506715903,3.220337952618790
Colleville,76183,http://www.colleville.fr,Pas à jour,749,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,49.752639049530501,0.456181228412661
Colleville-Montgomery,14166,http://www.colleville-montgomery.fr,Pas à jour,2169,oui,non,Apache,Inconnue,Joomla,1.5,php,Inconnue,49.274677752912801,-0.301250972575323
Colleville-sur-Mer,14165,http://www.collevillesurmer.fr,À jour,177,oui,non,Apache,Inconnue,Joomla,Inconnue,php,5.4.37,49.350183717400597,-0.848545429416892
Collias,30085,http://www.mairie-collias.fr,Pas à jour,1015,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.0,43.949222170688500,4.471914288934680
Colligny,57148,http://www.colligny.fr,À jour,310,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.4.37,49.096596145331297,6.336780114343150
